Loading DEM at ~301m resolution for ML data generation...
  grid: 296 x 259 cells, dx=269.5m, dy=300.6m
  base breach cell: (29, 166)
[1/60] sample_0000 split=train Q=4898m3/s loc=(28,168) -> flooded=210.5km2 max_d=1.34m (24.3s, unstable=False)
[2/60] sample_0001 split=val Q=2985m3/s loc=(32,169) -> flooded=114.9km2 max_d=0.76m (24.7s, unstable=False)
[3/60] sample_0002 split=train Q=4795m3/s loc=(33,170) -> flooded=191.0km2 max_d=1.04m (24.5s, unstable=False)
[4/60] sample_0003 split=train Q=2897m3/s loc=(28,163) -> flooded=114.4km2 max_d=0.79m (24.0s, unstable=False)
[5/60] sample_0004 split=train Q=2351m3/s loc=(31,170) -> flooded=84.8km2 max_d=0.57m (23.4s, unstable=False)
[6/60] sample_0005 split=train Q=1865m3/s loc=(25,170) -> flooded=63.7km2 max_d=0.51m (20.9s, unstable=False)
[7/60] sample_0006 split=train Q=4281m3/s loc=(33,166) -> flooded=168.9km2 max_d=1.12m (21.0s, unstable=False)
[8/60] sample_0007 split=val Q=4707m3/s loc=(32,167) -> flooded=188.8km2 max_d=1.21m (20.8s, unstable=False)
[9/60] sample_0008 split=val Q=3928m3/s loc=(28,160) -> flooded=172.5km2 max_d=0.98m (20.9s, unstable=False)
[10/60] sample_0009 split=train Q=2258m3/s loc=(24,165) -> flooded=90.9km2 max_d=0.58m (20.7s, unstable=False)
[11/60] sample_0010 split=train Q=3569m3/s loc=(31,171) -> flooded=143.7km2 max_d=0.76m (20.3s, unstable=False)
[12/60] sample_0011 split=train Q=4649m3/s loc=(30,167) -> flooded=195.9km2 max_d=1.28m (20.3s, unstable=False)
[13/60] sample_0012 split=val Q=3872m3/s loc=(31,161) -> flooded=156.1km2 max_d=0.91m (20.4s, unstable=False)
[14/60] sample_0013 split=train Q=2955m3/s loc=(30,167) -> flooded=114.1km2 max_d=0.83m (22.1s, unstable=False)
[15/60] sample_0014 split=train Q=3442m3/s loc=(23,172) -> flooded=157.4km2 max_d=0.89m (20.3s, unstable=False)
[16/60] sample_0015 split=train Q=3339m3/s loc=(25,172) -> flooded=151.0km2 max_d=0.88m (21.1s, unstable=False)
[17/60] sample_0016 split=train Q=2697m3/s loc=(34,170) -> flooded=100.5km2 max_d=0.61m (20.8s, unstable=False)
[18/60] sample_0017 split=train Q=2872m3/s loc=(23,171) -> flooded=130.0km2 max_d=0.76m (49.7s, unstable=False)
[19/60] sample_0018 split=val Q=4270m3/s loc=(26,161) -> flooded=189.7km2 max_d=1.04m (20.8s, unstable=False)
[20/60] sample_0019 split=val Q=4718m3/s loc=(30,172) -> flooded=201.9km2 max_d=0.99m (21.2s, unstable=False)
[21/60] sample_0020 split=train Q=3331m3/s loc=(31,165) -> flooded=129.3km2 max_d=0.93m (20.7s, unstable=False)
[22/60] sample_0021 split=val Q=2451m3/s loc=(33,164) -> flooded=87.9km2 max_d=0.68m (21.1s, unstable=False)
[23/60] sample_0022 split=val Q=2168m3/s loc=(23,170) -> flooded=87.6km2 max_d=0.58m (20.6s, unstable=False)
[24/60] sample_0023 split=train Q=3535m3/s loc=(32,169) -> flooded=139.9km2 max_d=0.89m (21.8s, unstable=False)
[25/60] sample_0024 split=train Q=3679m3/s loc=(25,172) -> flooded=166.8km2 max_d=0.96m (20.8s, unstable=False)
[26/60] sample_0025 split=train Q=4396m3/s loc=(24,166) -> flooded=194.8km2 max_d=1.13m (21.5s, unstable=False)
[27/60] sample_0026 split=train Q=3238m3/s loc=(28,163) -> flooded=131.8km2 max_d=0.88m (21.1s, unstable=False)
[28/60] sample_0027 split=train Q=4154m3/s loc=(26,167) -> flooded=183.4km2 max_d=1.12m (21.3s, unstable=False)
[29/60] sample_0028 split=train Q=2160m3/s loc=(27,164) -> flooded=77.3km2 max_d=0.57m (20.8s, unstable=False)
[30/60] sample_0029 split=train Q=5372m3/s loc=(24,164) -> flooded=227.6km2 max_d=1.28m (21.0s, unstable=False)
[31/60] sample_0030 split=val Q=4409m3/s loc=(34,165) -> flooded=172.6km2 max_d=1.17m (20.4s, unstable=False)
[32/60] sample_0031 split=train Q=5399m3/s loc=(26,163) -> flooded=229.0km2 max_d=1.32m (20.8s, unstable=False)
[33/60] sample_0032 split=train Q=4472m3/s loc=(33,170) -> flooded=178.1km2 max_d=0.98m (20.2s, unstable=False)
[34/60] sample_0033 split=train Q=2838m3/s loc=(28,161) -> flooded=112.3km2 max_d=0.75m (20.5s, unstable=False)
[35/60] sample_0034 split=train Q=5155m3/s loc=(24,161) -> flooded=223.0km2 max_d=1.14m (20.2s, unstable=False)
[36/60] sample_0035 split=train Q=2581m3/s loc=(28,169) -> flooded=98.7km2 max_d=0.72m (20.5s, unstable=False)
